Geneid,dimA_light_mean_rpm,dimA_dark_mean_rpm,pvals,log2_FC,-log10_pval
PA14_01110,47.93178941719561,39.446602537984084,0.4210501946432067,0.2810817407376596,0.37566612754405354
PA14_01120,10.431215192641597,10.537995311983458,0.926528889534183,-0.01469320513704608,0.03314103466167836
PA14_01130,18.405349613102512,16.187192569873073,0.4613304944079554,0.18527234323172095,0.33598783714246333
PA14_01140,13.14922769758717,12.546676883752196,0.814266603665747,0.06767275628644868,0.08923337699779059
PA14_01150,16.194146958328446,13.503134127084046,0.1294391742002602,0.2621781443095211,0.8879342664473019
PA14_01160,81.75992850236,89.70785897822536,0.17571247023924905,-0.1338404426625076,0.7551974157163591
PA14_01170,7.584161173840389,7.9913366562621215,0.7541931785299973,-0.07544719312362579,0.1225173999868534
PA14_01180,20.19582060573364,17.721377294388425,0.4141066312530829,0.18856601725287603,0.38288781491282775
PA14_01190,11.758464768620867,12.208388101517238,0.7783718952410695,-0.05417301485447173,0.10881285357484466
PA14_01200,23.011728402560593,19.54816556549204,0.22628976943474774,0.23533610061104557,0.6453350800641408
PA14_01220,40.09147373564239,31.228557673573334,0.09279695168507807,0.3604294955712466,1.0324662898166284
PA14_01230,22.737627997379118,22.704331221654275,0.990231774966157,0.0021142177457991736,0.004263141960243507
PA14_01240,105.90183177545106,108.01027667294063,0.7868595671828995,-0.028441040439890687,0.10410277035970202
PA14_01250,56.97774640686331,45.525184197337786,0.1169054898426831,0.3237336960383989,0.9321650940357468
PA14_01270,10.833009360412786,7.169607957284988,0.08913304019679257,0.595467821483152,1.0499612800785671
PA14_01290,23.941347326821244,35.514421867714034,0.05259255721189316,-0.5689006235793219,1.2790757119396547
PA14_01300,8.657249971950014,13.826994736403824,0.06989681836077569,-0.6755067985694897,1.1555425924918932
PA14_01310,3.6912910350544834,4.42509619420864,0.3527553448761172,-0.26158321991320743,0.4525263971834841
PA14_01320,6.41675232675082,7.9992299694050315,0.5098767688142187,-0.31801775505891766,0.29253477506063524
PA14_01330,58.62822488109786,124.58830692991069,0.017428676934390167,-1.0875013695558533,1.75873558029694
PA14_01340,4.970000677866367,5.470302390609196,0.5355349422458686,-0.1383744926061731,0.2712121873354243
PA14_01350,2.7549727448431356,2.342038069763141,0.446483430235858,0.23427336543635913,0.3501946538877808
PA14_01360,2.73352032465839,2.6125707837264662,0.8414643139002174,0.06528993642032775,0.07496429751923145
PA14_01380,5.143425619979284,5.313056260002529,0.8240759009874519,-0.04681243262338934,0.0840327860432493
PA14_01390,244.16073023168454,218.19073532103286,0.12439255737571595,0.16224133676311778,0.9052056034663603
PA14_01400,32.369594048611255,28.013801865523664,0.21827294749555934,0.2085014704548325,0.6610000869268381
PA14_01410,46.327736638863065,40.35753588125272,0.23372588943920877,0.19903810275463402,0.6312931788450645
PA14_01430,7.506648406462831,6.4733260149794845,0.10088881117093147,0.2136616971954229,0.9961569954693823
PA14_01440,15.337780183939659,14.772240543403463,0.42712725228620113,0.054201032726771035,0.36944271810739826
PA14_01460,19.790724098807075,20.069102189006188,0.8862623617614559,-0.020151677710456953,0.05243769414191482
PA14_01470,14.915221940100013,20.531263894709287,0.07387405150061876,-0.4610369524460936,1.1315080821606618
PA14_01480,15.07838243111192,18.958929109670546,0.014292557890905099,-0.3303957752538057,1.8448900400337724
PA14_01490,1635.922085117033,2136.224603262556,0.1735895400299572,-0.3849593020688565,0.7604764476165112
