Geneid,wt_light_mean_rpm,wt_dark_mean_rpm,pvals,log2_FC,-log10_pval
PA14_23160,4.29414038505801,4.66994377157716,0.686043419117984,-0.12103579517630296,0.1636483972865062
PA14_23170,5.924078259986583,9.995562892368204,0.022638838717606666,-0.7546970142201512,1.6451458544921767
PA14_23190,6.873158429276721,9.634288938802527,0.07709940339502597,-0.4872049169376998,1.112948982561891
PA14_23200,141.60025879573345,162.0028168115241,0.12614237676186799,-0.19419499462071912,0.8991389903330307
PA14_23210,224.73196317192935,239.98034766172836,0.26452671922406407,-0.09471093516927016,0.5775304543452225
PA14_23220,232.57004937249403,245.05251608462615,0.4595109870891317,-0.07542564250913192,0.337704100001187
PA14_23240,111.41655263370195,135.9961335193502,0.04923922203569299,-0.2876020496863654,1.30768881740349
PA14_23250,129.83088096179873,110.82840655592213,0.01386439704660138,0.22830586727932553,1.8580990128533628
PA14_23260,1458.7580863070282,1223.3208841622518,0.04295660928390193,0.2539377722467065,1.3669700063449788
PA14_23270,384.56758745338703,382.569018962107,0.9030403287752855,0.007517126266325227,0.04429285414555056
PA14_23280,398.05862041616894,385.1743370169377,0.3372532319727451,0.04746932186977971,0.4720438796954853
PA14_23290,164.65477591223654,162.17608167844426,0.8290171584994941,0.021883297351445584,0.08143648059022027
PA14_23310,594.9937075275637,624.462857043807,0.39473413348458086,-0.06974135198997695,0.40369531763019356
PA14_23320,248.85235796031597,264.9831938473291,0.2318253474246129,-0.09061080439837887,0.6348390806899138
PA14_23330,5584.556597119056,4106.85751644157,0.0058271593463977206,0.4434078427573227,2.23454310576174
PA14_23340,621.757419932405,330.64593871742204,0.005504854856619722,0.9110646360906324,2.2592541273371225
PA14_23350,323.1962347036711,222.56122942982972,0.0036033292575809025,0.5382080940179277,2.4432960519997815
PA14_23360,456.8467589848689,220.91683649237862,0.01934890125077876,1.0482069435555441,1.7133436918477647
PA14_23370,1232.5986705886291,527.8152168148115,0.007393330742286018,1.2235982896309034,2.1311598651082004
PA14_23380,1532.146551453395,704.8677357738449,0.007879963725902016,1.1201298231709083,2.1034757817080143
PA14_23390,228.8425460399145,134.26824081271067,0.07466840756074217,0.7692371994174162,1.126863110690722
PA14_23400,284.378642454,172.13557125783782,0.06195627133993992,0.724267859257765,1.2079147268911332
PA14_23410,470.62347468378795,238.81252333689966,0.023771149771263943,0.9786947873809768,1.6239498116567976
PA14_23420,4525.428618530094,2016.9654756303744,0.01129320738393245,1.1658680511851203,1.9471826965764734
PA14_23430,1737.6541692490994,696.2902323213281,0.014394437188224802,1.3193802916794821,1.8418053110447874
PA14_23440,1669.3383093886061,822.3573479544012,0.016105703357848902,1.0214390157632414,1.7930203042027213
PA14_23450,1312.6600008284643,615.041860631305,0.014838491343814765,1.0937367723111033,1.8286102523159502
PA14_23460,1020.5902193622927,419.8113343865911,0.011909297047732893,1.2815906958147725,1.9241138722116278
PA14_23470,1354.8437597410611,1011.0252065220462,0.047489142070584044,0.42230752310858527,1.3234056762250315
