Geneid,dimA_dark_mean_rpm,wt_dark_mean_rpm,pvals,log2_FC,-log10_pval
PA14_36760,5.194163106439029,6.311713343321646,0.3713778830127555,-0.2811403169671435,0.43018396373982176
PA14_36770,0.9066138352428604,1.2378239323652294,0.15971291083775802,-0.44924560969470656,0.7966599750390001
PA14_36780,3.7666857187606815,4.079743075746287,0.7590119165301608,-0.11518260684769285,0.11975140560298352
PA14_36790,1.5083809062642468,2.656788981399521,0.1388623640653584,-0.8166824351202902,0.857415445360609
PA14_36810,26.35186123865252,47.41830904903344,0.06179724766809433,-0.8475393289490896,1.2090308671308816
PA14_36820,4.01197414048209,6.875466979179738,0.06425514067601357,-0.7771452464858064,1.1920921212586715
PA14_36830,3.103832504867647,4.000315551907989,0.24660883413814472,-0.36606299590880564,0.6079913699595522
PA14_36840,44.272099674058836,60.374841550348684,0.17798433867808938,-0.44754969180925297,0.7496182107524713
PA14_36850,6.915422874201659,7.464982798163715,0.7879494823707999,-0.11032144639263405,0.10350162544304295
PA14_36860,21.454994811378942,24.78715753891264,0.5014984531426151,-0.20827927893162476,0.29973040221018843
PA14_36870,3.8996998509920027,3.7683229464690946,0.7748440414215167,0.04944046538915143,0.11078570235309382
PA14_36880,2.0270361825802055,1.2357333069395366,0.2105707063803537,0.7140039647078914,0.6766020459816963
PA14_36890,0.6372508335767112,0.5917353809726792,0.7327878928175038,0.10690902105103796,0.13502171473047145
PA14_36900,0.6633751936731507,0.6405547598965232,0.910524174617565,0.05050307757057661,0.040708519101751724
PA14_36910,51.89045411029537,28.134186108480012,0.0206408981269302,0.8831449094070182,1.6852714096085981
PA14_36920,19.543593073407376,10.467607646607123,0.01291872068052311,0.9007639110517434,1.8887804916736466
PA14_36930,1.0093950176770232,0.8967766638551325,0.6984296891838722,0.17067004849407283,0.15587730771217304
PA14_36940,0.8240169204981914,0.7149477174786126,0.7269861447931041,0.20483594876199496,0.1384738660284996
PA14_36960,5.798192981066431,6.259033301398984,0.6407269343942495,-0.11033648240401218,0.1933270190814529
PA14_36980,7.144061808536629,10.852930000481633,0.04277252123677627,-0.6032680473922312,1.368835149393702
PA14_36990,2.084697761408759,1.9626978173535943,0.7312791150962655,0.0870001258399913,0.13591682959498608
PA14_37000,0.4861683268136194,0.2694463342128178,0.13880972637189798,0.8514555457766314,0.8575801018808074
PA14_37010,0.44837240340718654,0.6067393555924062,0.39515620212793,-0.4363785629945825,0.40323119725304246
PA14_37030,1.1753396123742623,1.1533303690329808,0.9514800863645241,0.027271828606853322,0.02160029668069451
PA14_37040,0.4185382367754165,0.2987611460992646,0.5521716326429225,0.4863655019271631,0.25792590864043347
PA14_37060,6.132389929361601,6.587730867255691,0.1178841991111612,-0.10333216657477473,0.9285444026971887
PA14_37070,263.94613542175114,196.2519771512385,0.18133795725870128,0.42753635239951676,0.7415112808321312
PA14_37080,52.95709263750521,38.4027823899199,0.04243694417284792,0.463613067419101,1.3722558966050757
PA14_37090,3.1584179517859376,2.959730824100818,0.5363070008099358,0.09373608967876687,0.27058653383447157
PA14_37100,3.21338286998647,3.0216249765567955,0.7088998177110861,0.08876824327077211,0.14941513532391662
PA14_37120,16.05503053145902,15.187929387018494,0.4410876838818829,0.0801002068537244,0.3554750684895848
PA14_37130,17.17193763587294,18.84077193827039,0.4143309696514511,-0.13380522992205043,0.38265260364099396
