Geneid,bphP_light_mean_rpm,wt_light_mean_rpm,pvals,log2_FC,-log10_pval
PA14_00710,11.889386106220158,388.05541047721687,6.732714486146003e-06,-5.0285164040603485,5.171809802243836
PA14_00720,41.03305189477175,142.56523130630836,0.0008182754733591789,-1.796763786628847,3.087100465986805
PA14_00730,16.17051384251613,18.52997053448101,0.3232836253595584,-0.19649505083500918,0.4904162922832292
PA14_00740,7.2088118963051615,28.998302018772602,8.87523182530356e-06,-2.0081348437110815,5.051820294144961
PA14_00750,51.98837918677245,43.46160371581673,0.44933902882870336,0.2584477611719633,0.3474258576838602
PA14_00760,55.32211788686178,49.40141505377793,0.40011990659770164,0.1633040174412999,0.39780984124666535
PA14_00770,24.38588928060508,21.232821267307916,0.5849434079567506,0.19975049490295588,0.23288614896223087
PA14_00780,40.86763691944498,35.89782583988875,0.2210793554354184,0.1870623499679925,0.6554518102891457
PA14_00790,509.90066344615644,453.32661846600917,0.3498479974552289,0.16966533870727907,0.45612060766475454
PA14_00800,74.01798506897958,80.74754536979421,0.27412189039402707,-0.12554253950917596,0.5620562818711914
PA14_00810,16.34412499595332,18.327855224133952,0.5730658350333326,-0.16526581402372018,0.24179548248411756
PA14_00820,210.49631270160293,167.96442199953682,0.3636466801913705,0.32563928397153513,0.43932037284203107
PA14_00830,56.84820693561803,48.995416697111665,0.3872544458143726,0.21446804288090032,0.4120035876899534
PA14_00850,9.04202421739639,6.189708591586753,0.32825666557754113,0.546774207403124,0.4837864463682516
PA14_00860,8.037736420384526,5.054254965375727,0.17181140824200436,0.6692907024628646,0.7649480024834903
PA14_00875,64.02551331124916,43.54928615893368,0.12860904462937053,0.5559978312042367,0.8907284879086803
PA14_00890,16.06086430460227,10.30988459330238,0.10624003906690402,0.6395212913969034,0.9737117782759662
PA14_00900,15.96602006723787,11.718765952365155,0.26704315983076493,0.44618403741371654,0.5734185417757259
PA14_00910,63.17941805299267,46.14326940261862,0.22424618823018974,0.45333441141409564,0.6492749304228421
PA14_00925,30.623575461332376,23.296839944239327,0.30856256058457643,0.3945084412473499,0.5106567701650316
PA14_00940,32.44938233803445,26.901752027593886,0.5328420718796828,0.27049087268246225,0.27340149167591005
PA14_00960,11.64430049408081,7.776777679338861,0.157036412356746,0.5823795034511925,0.8039996351570706
PA14_00970,16.59688402294991,14.837971724761372,0.4048898098030667,0.16161850042580764,0.3926631533426952
PA14_00980,42.16771973885667,35.92340961906963,0.3829008333819056,0.23121471380887545,0.41691368841133813
PA14_00990,18.1548947081366,18.290951938823326,0.9789993248634777,-0.010771597288088366,0.009217607694479386
PA14_01010,79.50516150894062,85.9171809086561,0.6217745825153521,-0.11189813140811378,0.2063670354271917
PA14_01020,157.4190851922174,138.5904165969273,0.5633680055986773,0.1837829597801427,0.24920782079805537
PA14_01030,122.33812909930639,97.7047690989166,0.29621731209032115,0.32437322611712704,0.5283895632166135
PA14_01040,25.75102701918586,21.00098020762596,0.5849278693092601,0.2941732910144587,0.2328976858705949
PA14_01060,7.721704874926817,6.413831525479807,0.6345485215604989,0.26773291295375584,0.19753516341910443
PA14_01070,28.756672725887057,24.679207559106363,0.5654889102014522,0.22060067891871737,0.24757590760066564
PA14_01080,9.753912822315753,9.623222069335558,0.9642217121530978,0.01946105437394734,0.015823093385977628
PA14_01100,116.04900350792711,91.28087637972527,0.2702176201537127,0.34634958269552524,0.5682863352324622
PA14_01110,49.203271841647926,47.52809740592293,0.8859532937839623,0.0499736012593944,0.05258917290591205
PA14_01120,9.60619590270179,7.609004655628276,0.16439024676770111,0.3362574397936792,0.784123952614821
PA14_01130,20.13562591745555,17.451702770851337,0.5140709979573328,0.20638249885272472,0.28897689677949795
PA14_01140,17.23555153015167,13.077161518012785,0.13819589004278574,0.3983380058562295,0.8595048727236204
PA14_01150,20.248915764027554,19.39326129718577,0.7438293620555221,0.06228921994367764,0.12852668221930993
PA14_01160,75.00359814531694,74.87654731464069,0.9762545910529461,0.0024458962711123235,0.010436910744069836
PA14_01170,8.203301563768422,6.919435997205784,0.23056261824565946,0.2455501785255981,0.6372111046980864
PA14_01180,19.741097701799564,17.968505558409145,0.6451391454878329,0.13573177983554227,0.19034660536441098
PA14_01190,12.120503315354375,9.82494318472483,0.36668085118071586,0.30292860758634915,0.43571176918772403
PA14_01200,27.2961915835734,22.24944438986007,0.2601083481557368,0.29493035410406954,0.5848457089352732
PA14_01220,38.4526586029689,35.13534158412192,0.5492234971096723,0.13016042053352167,0.2602508908694083
PA14_01230,22.888893186790494,17.90233811147419,0.21219863776982673,0.3544996604598855,0.6732574084221724
